method,stress,jf,ops,vanish,hallucination,split,mce,uec,ece_iou50
object_token_no_geom,noise,0.1173128305764481,0.4212147134302823,0.4197319646421443,0.0051325919589392,0.204448246364414,0.0082542887511199,-0.2586453786647031,0.8945222953598417
safeobjworld_r_full,occlusion,0.5167226606123173,0.9076683291770572,0.0395573566084788,0.0066708229426433,0.3271197007481297,0.0028920348368935,0.1160822273646622,0.4224995511558436
safeobjworld_r_full,occlusion,0.6313917402854091,0.9503279155973768,0.0232107214143142,0.002965497576276,0.3341317365269461,0.0032394306386687,0.2304458912451575,0.2681236478382955
safeobjworld_r_no_temporal,occlusion,0.5160375019714207,0.9079488778054864,0.0396197007481296,0.0068266832917705,0.3270885286783042,0.0029325971927261,0.1352783905294815,0.4232687296694205
safeobjworld_r_no_temporal,occlusion,0.6310335572492843,0.9493013972055888,0.0232107214143142,0.0030225263758197,0.3262617621899059,0.0033435636459635,0.2337038392314475,0.2679663152751808
safeobjworld_r_no_split,occlusion,0.5198624190798835,0.9098815461346632,0.0392456359102244,0.0067643391521197,0.3131546134663341,0.0028939521153384,0.1150072940856852,0.4199984812193975
safeobjworld_r_no_split,occlusion,0.6347023520670706,0.9518106643855146,0.0211006558311947,0.0035357855717137,0.3561448531508411,0.0032349749993749,0.1851849792691118,0.26871599877088
safeobjworld_r_no_area,occlusion,0.5178641501409919,0.9099127182044888,0.0371259351620947,0.0067643391521197,0.297786783042394,0.0027924009925445,0.1407250058564188,0.4208834827800938
safeobjworld_r_no_area,occlusion,0.6304753076167027,0.9481037924151696,0.0229826062161391,0.0030795551753635,0.3335044197319646,0.0034044478981861,0.2215404272763062,0.2683264670189813
safeobjworld_r_no_stress,occlusion,0.4567282110794351,0.8907107231920199,0.0488466334164588,0.0055798004987531,0.6193266832917705,0.0036301698112006,0.149398363404341,0.6081416967355104
safeobjworld_r_no_stress,occlusion,0.5626540262697701,0.9469632164242944,0.0230966638152266,0.0035357855717137,0.6455089820359281,0.0036998932048965,0.1968989850293626,0.4481031175451058
safeobjworld_r_det,occlusion,0.5144102433753068,0.9050498753117208,0.0442019950124688,0.0050187032418952,0.2157730673316708,0.001920012539899,,0.4130324767154648
safeobjworld_r_det,occlusion,0.6368934716648118,0.9446250356429996,0.0281151981750784,0.0025662959794696,0.3312802965497576,0.0032148520172399,,0.2566787139384332
safeobjworld_r_image_only,occlusion,0.2008112215881982,0.6709788029925187,0.1520573566084788,0.0084164588528678,0.6582605985037406,0.0126049543221318,0.0948422368200606,0.8715256770984491
safeobjworld_r_image_only,occlusion,0.2122988226172047,0.7071571143427431,0.0736241802110065,0.0051325919589392,0.8940975192472198,0.0148310033572662,0.149161199560159,0.8501939421948252
safeobjworld_r_mask_only,occlusion,0.4951332995353749,0.8986596009975062,0.0492830423940149,0.0061097256857855,0.4680174563591022,0.0037648673861418,-0.0473366922475067,0.4542004272620428
safeobjworld_r_mask_only,occlusion,0.604887251668515,0.946506986027944,0.0248075278015397,0.003193612774451,0.4427145708582834,0.0041051639323136,0.1028996091763082,0.3073889908472424
object_token_full,occlusion,0.284673015522932,0.8458541147132169,0.0590710723192019,0.008291770573566,0.1144638403990025,0.0135204088880353,-0.2002511643183502,0.7681466960011426
object_token_full,occlusion,0.3253157700783595,0.8767037353863701,0.0503564299971485,0.0034217279726261,0.0572569147419446,0.0147974317959359,-0.2605800206237433,0.7528942924977573
object_token_det,occlusion,0.2690071156149456,0.8005922693266833,0.0773067331670823,0.0068266832917705,0.1504364089775561,0.0018307841922715,,0.8023153754541107
object_token_det,occlusion,0.3520707961933136,0.8897633304818934,0.0465355004277159,0.0050185343598517,0.1011120615911035,0.003732420005933,,0.6659875549888014
object_token_no_geom,occlusion,0.1017702241733318,0.3628740648379052,0.4811097256857855,0.0084788029925187,0.0294576059850374,0.0055447184285827,-0.3189658558885846,0.9030509982991992
object_token_no_geom,occlusion,0.1110428887048602,0.3989164528086684,0.4402623324779013,0.0051325919589392,0.2120901055032791,0.0078908386297408,-0.2311329011110215,0.9071712075117344
