method,stress,jf,ops,vanish,hallucination,split,mce
flow_warp,noise,0.5313970642894276,0.8623753117206983,0.0637468827930174,0.0084788029925187,0.5934850374064838,0.0015007822032356
flow_warp,noise,0.6683555853254789,0.9249500998003992,0.0304533789563729,0.0050185343598517,0.5384659252922726,0.0015719642530988
flow_linear_fallback,noise,0.5454132598400623,0.8716645885286783,0.0588216957605985,0.0084788029925187,0.5262780548628428,0.0014382944643267
flow_linear_fallback,noise,0.6755574579715039,0.9268890789848874,0.0289706301682349,0.0051325919589392,0.5203307670373538,0.0034538650371067
convlstm_base,noise,0.5402915785027405,0.9072007481296758,0.0464775561097256,0.0057980049875311,0.2656483790523691,0.0024797403174416
convlstm_base,noise,0.6745080673201074,0.9537496435700028,0.0272027373823781,0.0023381807812945,0.2940975192472198,0.0031082476182732
convlstm_stress,noise,0.5388365622997571,0.9063279301745636,0.0471945137157107,0.0058291770573566,0.2765897755610972,0.0023485464497159
convlstm_stress,noise,0.6700680930928703,0.954947248360422,0.025491873396065,0.0027373823781009,0.2820074137439406,0.0029975634369897
safeobjworld_r_full,noise,0.5396876525021079,0.915149625935162,0.0408354114713217,0.0067019950124688,0.2729114713216957,0.0026010005969547
safeobjworld_r_full,noise,0.6644469997418385,0.9576276019389792,0.0226404334188765,0.0031365839749073,0.2761334473909324,0.0029539358213908
safeobjworld_r_no_temporal,noise,0.5396817629343258,0.9152431421446384,0.0409912718204488,0.0067643391521197,0.2733790523690773,0.0025881283323164
safeobjworld_r_no_temporal,noise,0.6640318487844955,0.957684630738523,0.0226404334188765,0.0030795551753635,0.2741374394069005,0.0030282155523678
safeobjworld_r_no_split,noise,0.5430411621336672,0.9160536159600996,0.0391209476309226,0.0069201995012468,0.2702930174563591,0.0026791308905526
safeobjworld_r_no_split,noise,0.670029899730721,0.9584830339321356,0.0199030510407755,0.0039920159680638,0.2822355289421158,0.0028925366322238
safeobjworld_r_no_area,noise,0.5394004951117709,0.917581047381546,0.0379052369077306,0.0066084788029925,0.2793017456359102,0.0025415575585934
safeobjworld_r_no_area,noise,0.6636363386796238,0.9576276019389792,0.0229255774165953,0.003193612774451,0.2811519817507841,0.0031016458368426
safeobjworld_r_no_stress,noise,0.546035689652494,0.9123441396508728,0.0432668329177057,0.0062032418952618,0.3006546134663341,0.0027967200293952
safeobjworld_r_no_stress,noise,0.6768926593700765,0.9613344739093242,0.0191616766467065,0.0039349871685201,0.2757912745936698,0.0028210081986235
safeobjworld_r_det,noise,0.5382828886543383,0.911845386533666,0.0444513715710723,0.005860349127182,0.2302992518703241,0.0018334378181421
safeobjworld_r_det,noise,0.6685377574849304,0.9546621043627032,0.0258910749928714,0.0026233247790134,0.2826347305389221,0.0028691700658489
