====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_stress",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 0,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_stress device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_stress/H5
[train:safeobj_no_stress:H5] epoch=6/8 step=700/1086 loss=0.6764
[train:safeobj_no_stress:H5] epoch=6/8 step=725/1086 loss=0.6792
[train:safeobj_no_stress:H5] epoch=6/8 step=750/1086 loss=0.6308
[train:safeobj_no_stress:H5] epoch=6/8 step=775/1086 loss=0.6291
[train:safeobj_no_stress:H5] epoch=6/8 step=800/1086 loss=0.6339
[train:safeobj_no_stress:H5] epoch=6/8 step=825/1086 loss=0.6175
[train:safeobj_no_stress:H5] epoch=6/8 step=850/1086 loss=0.6546
[train:safeobj_no_stress:H5] epoch=6/8 step=875/1086 loss=0.6694
[train:safeobj_no_stress:H5] epoch=6/8 step=900/1086 loss=0.6138
[train:safeobj_no_stress:H5] epoch=6/8 step=925/1086 loss=0.6282
[train:safeobj_no_stress:H5] epoch=6/8 step=950/1086 loss=0.6992
[train:safeobj_no_stress:H5] epoch=6/8 step=975/1086 loss=0.6194
[train:safeobj_no_stress:H5] epoch=6/8 step=1000/1086 loss=0.6569
[train:safeobj_no_stress:H5] epoch=6/8 step=1025/1086 loss=0.5993
[train:safeobj_no_stress:H5] epoch=6/8 step=1050/1086 loss=0.6369
[train:safeobj_no_stress:H5] epoch=6/8 step=1075/1086 loss=0.6443
[epoch done:safeobj_no_stress:H5] epoch=6 train=0.6483 val=0.6812 best=0.6802
[train:safeobj_no_stress:H5] epoch=7/8 step=0/1086 loss=0.6010
[train:safeobj_no_stress:H5] epoch=7/8 step=25/1086 loss=0.6453
[train:safeobj_no_stress:H5] epoch=7/8 step=50/1086 loss=0.6663
[train:safeobj_no_stress:H5] epoch=7/8 step=75/1086 loss=0.6312
[train:safeobj_no_stress:H5] epoch=7/8 step=100/1086 loss=0.6663
[train:safeobj_no_stress:H5] epoch=7/8 step=125/1086 loss=0.6237
[train:safeobj_no_stress:H5] epoch=7/8 step=150/1086 loss=0.6434
[train:safeobj_no_stress:H5] epoch=7/8 step=175/1086 loss=0.6378
[train:safeobj_no_stress:H5] epoch=7/8 step=200/1086 loss=0.6352
[train:safeobj_no_stress:H5] epoch=7/8 step=225/1086 loss=0.6500
[train:safeobj_no_stress:H5] epoch=7/8 step=250/1086 loss=0.6201
[train:safeobj_no_stress:H5] epoch=7/8 step=275/1086 loss=0.6146
[train:safeobj_no_stress:H5] epoch=7/8 step=300/1086 loss=0.6447
[train:safeobj_no_stress:H5] epoch=7/8 step=325/1086 loss=0.6259
[train:safeobj_no_stress:H5] epoch=7/8 step=350/1086 loss=0.6578
[train:safeobj_no_stress:H5] epoch=7/8 step=375/1086 loss=0.6256
[train:safeobj_no_stress:H5] epoch=7/8 step=400/1086 loss=0.6199
[train:safeobj_no_stress:H5] epoch=7/8 step=425/1086 loss=0.6653
